This supplementary material includes two tables:
Table 1: List of 14NH3 measured transitions with their corresponding C2018 description [#]
Table 2: 15NH3 transitions in natural abundance.																																				
/*Format note: the table is readable by using fixed format on a spreadsheet software.*/															

Table1:																								
																																							
Col 1:  Transition index	
Col 2:  Experimental transition line center (cm-1)																																							
Col 3:  Experimental transition line strength (cm/molecule)
Col 4:  Experimental lower state energy (cm-1)
Col.5:  LSCD transition wavenumber(cm-1)  corresponding to the difference of the empirical energies of the upper and lower levels
        given in the SM3 supplementary material. The LSCD transition wavenumber(cm-1) is expected to be more accurate than the 
        experimental transition line center given in col. 2 
Col 6   LSCD transition line center uncertainty (cm-1) in 1E-5 cm-1 unit  //derived using  col 28,29 and 30
Col 7   Total number of lines reaching the upper level of the considered transition         
Col 8:  C2018 transition line center (cm-1)																																							
Col 9:  C2018 transition line strength (cm/molecule)
Col 10: C2018 lower state energy (cm-1)																																						
Col 11: Upper state (US) symmetry of the state: 3 digits number Gtot'Gvib'Grot',
 	where
	Gtot' total symmetry represented by index in the D3h(M) symmetry group (1:A1’, 2:A2’, 3:E’; 4:A1", 5:A2", 6:E")
	Gvib' vibrational symmetry represented by its index in D3h(M)
	Grot' rotational symmetry represented by its index in D3h(M) 
Col 12: US upper rotational quantum number J'																																							
Col 13: US K' projection of J' on the molecular axis
Col 14: US vibrational quantum numbers represented by a 6 digits number n1'n2'n2'n4'l3'l4'
	where
	n1' is the symmetric stretch quantum number (normal mode)																																							
	n2' the symmetric bend quantum number (normal mode)																																							
	n3' the asymmetric stretch quantum number (normal mode)																																							
	n4' the asymmetric bend quantum number (normal mode)																																							
	L3'=|l3| the asymmetric stretch vibrational angular momentum quantum number (normal mode)																																							
	L4'=|l4| the asymmetric bend vibrational angular momentum quantum number (normal mode)
Col 15: US Inv' is the inversion parity (0 or 1) respectively (s or a)																																							
Col 16: US C2018 transition upper state energy (cm-1) 	
Col 17: US Nb' block number in the C2018 model																																								
Col 18: Lower state (LS) symmetry of the state: 3 digits number Gtot"Gvib"Grot",
 	where
	Gtot" total symmetry represented by index in the D3h(M) symmetry group (1:A1’, 2:A2’, 3:E’; 4:A1", 5:A2", 6:E")
	Gvib" vibrational symmetry represented by its index in D3h(M)
	Grot" rotational symmetry represented by its index in D3h(M) 
Col 19: LS upper rotational quantum number J"																																							
Col 20: LS K" projection of J" on the molecular axis
Col 21: LS vibrational quantum numbers represented by a 6 digits number n1"n2"n2"n4"l3"l4"
	where
	n1" is the symmetric stretch quantum number (normal mode)																																							
	n2" the symmetric bend quantum number (normal mode)																																							
	n3" the asymmetric stretch quantum number (normal mode)																																							
	n4" the asymmetric bend quantum number (normal mode)																																							
	L3"=|l3| the asymmetric stretch vibrational angular momentum quantum number (normal mode)																																							
	L4"=|l4| the asymmetric bend vibrational angular momentum quantum number (normal mode)
Col 22: LS Inv" is the inversion parity (0 or 1) respectively (s or a)																																							
Col 23: LS C2018 transition upper state energy (cm-1) 	
Col 24: LS Nb" block number in the C2018 model
Col 25: (J', Gtot') subspace of the upper state level of the transition represented by a number built with J' and Gtot' separated by a dot.																																							
Col 26: Energy difference between the experimental and C2018 transition frequencies (cm-1)
Col 27: Ratio between the meaured and C2018 line strengths
Col 28: Uncertainty on the lower state energy given by  Furtenbacher  et al [##]
Col 29: Uncertainty on the meaured line center provided by the line profile fit.
Col 30: Uncertainty on the Upper state level derived from the considered transition using col 28 and 29
 
																																				
[#]  Coles PA, Ovsyannikov RI, Polyansky OL, Yurchenko SN, Tennyson J. Improved potential energy surface and spectral assignments for ammonia in the near-infrared region.
     J Quant Spectrosc Radiat Transf 2018;219:199-212. https://doi.org/10.1016/j.jqsrt.2018.07.022.	
[##] Furtenbacher T, Coles PA, Tennyson J, Yurchenko SN, Yu S, Drouin B, Tóbiás R, Császár AG. Empirical rovibrational energy levels of ammonia up to 7500 cm-1 . J Quant Spectrosc Radiat
     Transf 2020;251:107027. doi: 10.1016/j.jqsrt.2020. 107027 .				

%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%% The Peak List %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
           label       S          Elow                         _____________C2018_______________  ____________C2018 upper state____________  ____________C2018 lower state__________    J.Gtot   Diff     Ratio  RMS_LOW  RMS_LC RMS_UP																															
  Col      Col        Col         Col        Col      Col  Col     Col       Col          Col      Col Col Col   Col   Col     Col      Col   Col Col Col   Col   Col     Col      Col   Col     Col      Col     Col      Col    Col
    1       2          3           4	      5        6    7       8         9           10       11   12  13    14    15      16       17    18  19  20    21    22      23       24    25      26       27      28       29     30
*******************************************************************************************************************************************************************************************************************************************
   1 | 7400.08898  1.48E-24             |                     |                                  |                                          |                                          |                                 5.7E-4
   2 | 7400.25590  1.12E-24             |                     |                                  |                                          |                                          |                                 7.5E-4
   3 | 7400.50046  2.88E-24   697.39540 | 7400.49828    7   2 | 7400.05982  1.35E-24   697.39450 | 635   7   3  011210   0  8097.4544   586 | 313   8   2  000000   0   697.3945   697 | 7.6  +0.44154    2.137  7.2E-6  2.9E-4  2.9E-4
   4 | 7400.73059  6.63E-25             |                     |                                  |                                          |                                          |                                 1.3E-3
   5 | 7400.80525  1.49E-24             |                     |                                  |                                          |                                          |                                 5.7E-4
   6 | 7401.03047  1.15E-24             |                     |                                  |                                          |                                          |                                 7.3E-4
   7 | 7401.82414  1.55E-24             |                     |                                  |                                          |                                          |                                 5.5E-4
   8 | 7401.86579  1.25E-24             |                     |                                  |                                          |                                          |                                 6.8E-4
   9 | 7402.07794  7.76E-25   654.45038 | 7402.07637    4   2 | 7401.67030  6.19E-25   654.44860 | 366   7   5  011210   1  8056.1189   569 | 653   8   4  000000   1   654.4486   654 | 7.3  +0.40942    1.254  7.4E-6  9.2E-4  9.2E-4
  10 | 7402.34830  1.09E-24             |                     |                                  |                                          |                                          |                                 7.1E-4
  11 | 7402.38008  6.30E-24             |                     |                                  |                                          |                                          |                                 1.2E-4
  12 | 7402.51878  2.83E-24             |                     |                                  |                                          |                                          |                                 3.6E-4
  13 | 7402.54310  1.89E-24             |                     |                                  |                                          |                                          |                                 5.1E-4
  14 | 7402.67005  2.31E-24   297.64182 | 7402.66866    9   2 | 7400.78092  2.24E-24   297.64270 | 551   4   0  110200   1  7698.4236   179 | 212   5   0  000000   0   297.6427   298 | 4.5  +1.88825    1.032  6.3E-6  3.1E-4  3.1E-4
  15 | 7403.48287  1.80E-24             |                     |                                  |                                          |                                          |                                 4.0E-4
  16 | 7403.65633  6.88E-24             |                     |                                  |                                          |                                          |                                 1.1E-4
  17 | 7403.90352  6.71E-25             |                     |                                  |                                          |                                          |                                 1.1E-3
  18 | 7404.02427  5.48E-25             |                     |                                  |                                          |                                          |                                 1.3E-3
  19 | 7404.20015  7.19E-25             |                     |                                  |                                          |                                          |                                 9.9E-4
  20 | 7404.83942  4.42E-24             |                     |                                  |                                          |                                          |                                 1.6E-4
  21 | 7405.11270  1.89E-24             |                     |                                  |                                          |                                          |                                 1.1E-4
  22 | 7405.25083  8.57E-25             |                     |                                  |                                          |                                          |                                 2.3E-3
  23 | 7405.26524  2.11E-24             |                     |                                  |                                          |                                          |                                 9.2E-4
  24 | 7405.58319  2.36E-24             |                     |                                  |                                          |                                          |                                 3.1E-4
  25 | 7405.62026  2.24E-24             |                     |                                  |                                          |                                          |                                 3.3E-4
  26 | 7405.70392  5.76E-25             |                     |                                  |                                          |                                          |                                 1.2E-3
  27 | 7405.96685  3.21E-24   521.62199 | 7405.96662    3   2 | 7405.74252  2.40E-24   521.62170 | 233   6   4  011210   0  7927.3642   238 | 515   7   3  000000   0   521.6217   522 | 6.2  +0.22462    1.337  1.0E-5  2.2E-4  2.2E-4
  28 | 7406.11684  4.83E-24             |                     |                                  |                                          |                                          |                                 1.4E-4
  29 | 7406.51065  9.57E-25             |                     |                                  |                                          |                                          |                                 1.0E-3
  30 | 7406.53327  8.64E-25   758.38543 | 7406.53318   20   2 | 7406.12104  6.72E-25   758.38290 | 536   8   7  011212   0  8164.5040   330 | 212   9   6  000000   0   758.3829   758 | 8.5  +0.41476    1.286  1.9E-4  1.2E-3  1.2E-3
  31 | 7406.56635  5.65E-25             |                     |                                  |                                          |                                          |                                 1.3E-3
  32 | 7406.91868  1.41E-24             |                     |                                  |                                          |                                          |                                 4.8E-4
  33 | 7407.19516  1.78E-24             |                     |                                  |                                          |                                          |                                 3.8E-4
  34 | 7407.30653  1.28E-24   294.63006 | 7407.30777   27   2 | 7407.24118  1.18E-24   294.63050 | 663   4   2  110202   1  7701.8717   334 | 356   5   1  000000   1   294.6305   295 | 4.6  +0.06491    1.086  3.4E-6  5.3E-4  5.3E-4
  35 | 7407.34997  6.26E-25             |                     |                                  |                                          |                                          |                                 1.1E-3
  36 | 7407.40981  1.21E-24             |                     |                                  |                                          |                                          |                                 5.7E-4
  37 | 7407.48118  5.58E-25             |                     |                                  |                                          |                                          |                                 1.2E-3
  38 | 7407.97165  2.67E-24             |                     |                                  |                                          |                                          |                                 4.2E-4
  39 | 7408.29870  5.88E-25             |                     |                                  |                                          |                                          |                                 1.2E-3
  40 | 7408.37844  2.45E-24             |                     |                                  |                                          |                                          |                                 2.8E-4
  41 | 7408.67235  6.02E-25             |                     |                                  |                                          |                                          |                                 1.1E-3
  42 | 7408.72026  1.09E-23   422.45833 | 7408.72020    7   2 | 7408.08956  9.68E-24   422.45620 | 536   6   5  110202   0  7830.5457   248 | 212   7   6  000000   0   422.4562   422 | 6.5  +0.63283    1.126  8.8E-6  6.4E-5  6.5E-5
